grantee,table_schema,table_name,privilege_type,is_grantable
anon,app,app_config,DELETE,NO
anon,app,app_config,INSERT,NO
anon,app,app_config,SELECT,NO
anon,app,app_config,UPDATE,NO
authenticated,app,app_config,DELETE,NO
authenticated,app,app_config,INSERT,NO
authenticated,app,app_config,SELECT,NO
authenticated,app,app_config,UPDATE,NO
postgres,app,app_config,DELETE,YES
postgres,app,app_config,INSERT,YES
postgres,app,app_config,REFERENCES,YES
postgres,app,app_config,SELECT,YES
postgres,app,app_config,TRIGGER,YES
postgres,app,app_config,TRUNCATE,YES
postgres,app,app_config,UPDATE,YES
anon,app,bookings,DELETE,NO
anon,app,bookings,INSERT,NO
anon,app,bookings,SELECT,NO
anon,app,bookings,UPDATE,NO
authenticated,app,bookings,DELETE,NO
authenticated,app,bookings,INSERT,NO
authenticated,app,bookings,SELECT,NO
authenticated,app,bookings,UPDATE,NO
postgres,app,bookings,DELETE,YES
postgres,app,bookings,INSERT,YES
postgres,app,bookings,REFERENCES,YES
postgres,app,bookings,SELECT,YES
postgres,app,bookings,TRIGGER,YES
postgres,app,bookings,TRUNCATE,YES
postgres,app,bookings,UPDATE,YES
anon,app,certificates,DELETE,NO
anon,app,certificates,INSERT,NO
anon,app,certificates,SELECT,NO
anon,app,certificates,UPDATE,NO
authenticated,app,certificates,DELETE,NO
authenticated,app,certificates,INSERT,NO
authenticated,app,certificates,SELECT,NO
authenticated,app,certificates,UPDATE,NO
postgres,app,certificates,DELETE,YES
postgres,app,certificates,INSERT,YES
postgres,app,certificates,REFERENCES,YES
postgres,app,certificates,SELECT,YES
postgres,app,certificates,TRIGGER,YES
postgres,app,certificates,TRUNCATE,YES
postgres,app,certificates,UPDATE,YES
anon,app,certifications,DELETE,NO
anon,app,certifications,INSERT,NO
anon,app,certifications,SELECT,NO
anon,app,certifications,UPDATE,NO
authenticated,app,certifications,DELETE,NO
authenticated,app,certifications,INSERT,NO
authenticated,app,certifications,SELECT,NO
authenticated,app,certifications,UPDATE,NO
postgres,app,certifications,DELETE,YES
postgres,app,certifications,INSERT,YES
postgres,app,certifications,REFERENCES,YES
postgres,app,certifications,SELECT,YES
postgres,app,certifications,TRIGGER,YES
postgres,app,certifications,TRUNCATE,YES
postgres,app,certifications,UPDATE,YES
anon,app,courses,DELETE,NO
anon,app,courses,INSERT,NO
anon,app,courses,SELECT,NO
anon,app,courses,UPDATE,NO
authenticated,app,courses,DELETE,NO
authenticated,app,courses,INSERT,NO
authenticated,app,courses,SELECT,NO
authenticated,app,courses,UPDATE,NO
postgres,app,courses,DELETE,YES
postgres,app,courses,INSERT,YES
postgres,app,courses,REFERENCES,YES
postgres,app,courses,SELECT,YES
postgres,app,courses,TRIGGER,YES
postgres,app,courses,TRUNCATE,YES
postgres,app,courses,UPDATE,YES
anon,app,drip_plans,DELETE,NO
anon,app,drip_plans,INSERT,NO
anon,app,drip_plans,SELECT,NO
anon,app,drip_plans,UPDATE,NO
authenticated,app,drip_plans,DELETE,NO
authenticated,app,drip_plans,INSERT,NO
authenticated,app,drip_plans,SELECT,NO
authenticated,app,drip_plans,UPDATE,NO
postgres,app,drip_plans,DELETE,YES
postgres,app,drip_plans,INSERT,YES
postgres,app,drip_plans,REFERENCES,YES
postgres,app,drip_plans,SELECT,YES
postgres,app,drip_plans,TRIGGER,YES
postgres,app,drip_plans,TRUNCATE,YES
postgres,app,drip_plans,UPDATE,YES
anon,app,drip_rules,DELETE,NO
anon,app,drip_rules,INSERT,NO
anon,app,drip_rules,SELECT,NO
anon,app,drip_rules,UPDATE,NO
